id,room,order,order_common,family,family_common,value,absent,room_total,order_room_total
house.bed.Coleoptera (beetles).Lycidae (net-winged beetles),bed,Coleoptera,beetles,Lycidae,net-winged beetles,1,159,160,135
house.bed.Coleoptera (beetles).Melyridae (soft winged flower beetles),bed,Coleoptera,beetles,Melyridae,soft winged flower beetles,5,155,160,135
house.bed.Coleoptera (beetles).Monotomidae (root-eating beetles),bed,Coleoptera,beetles,Monotomidae,root-eating beetles,2,158,160,135
house.bed.Coleoptera (beetles).Mordellidae (tumbling flower beetles),bed,Coleoptera,beetles,Mordellidae,tumbling flower beetles,5,155,160,135
house.bed.Coleoptera (beetles).Mycetophagidae (hairy fungus beetles),bed,Coleoptera,beetles,Mycetophagidae,hairy fungus beetles,4,156,160,135
house.bed.Coleoptera (beetles).Nitidulidae (sap beetles),bed,Coleoptera,beetles,Nitidulidae,sap beetles,4,156,160,135
house.bed.Coleoptera (beetles).Phalacridae (shining flower beetles),bed,Coleoptera,beetles,Phalacridae,shining flower beetles,1,159,160,135
house.bed.Coleoptera (beetles).Ptilodactylidae (toe winged beetles),bed,Coleoptera,beetles,Ptilodactylidae,toe winged beetles,9,151,160,135
house.bed.Coleoptera (beetles).Scarabaeidae (scarab beetles),bed,Coleoptera,beetles,Scarabaeidae,scarab beetles,13,147,160,135
house.bed.Coleoptera (beetles).Scirtidae (marsh beetles),bed,Coleoptera,beetles,Scirtidae,marsh beetles,2,158,160,135
house.bed.Coleoptera (beetles).Scraptiidae (false flower beetles),bed,Coleoptera,beetles,Scraptiidae,false flower beetles,3,157,160,135
house.bed.Coleoptera (beetles).Scydmaenidae (ant like stone beetles),bed,Coleoptera,beetles,Scydmaenidae,ant like stone beetles,1,159,160,135
house.bed.Coleoptera (beetles).Silvanidae (flat bark beetles),bed,Coleoptera,beetles,Silvanidae,flat bark beetles,8,152,160,135
house.bed.Coleoptera (beetles).Staphylinidae (rove beetles),bed,Coleoptera,beetles,Staphylinidae,rove beetles,8,152,160,135
house.bed.Coleoptera (beetles).Tenebrionidae (darkling beetles),bed,Coleoptera,beetles,Tenebrionidae,darkling beetles,18,142,160,135
house.bed.Coleoptera (beetles).Throscidae (false metallic wood boring beetles),bed,Coleoptera,beetles,Throscidae,false metallic wood boring beetles,3,157,160,135
house.bed.Coleoptera (beetles).Trogossitidae (bark gnawing beetles),bed,Coleoptera,beetles,Trogossitidae,bark gnawing beetles,1,159,160,135
house.bed.Coleoptera (beetles).Un ID family,bed,Coleoptera,beetles,Un ID family,,8,152,160,135
house.bed.Coleoptera (beetles).Zopheridae (ironclad beetles),bed,Coleoptera,beetles,Zopheridae,ironclad beetles,4,156,160,135
house.bed.Collembola (springtails).Entomobryidae (slender springtails),bed,Collembola,springtails,Entomobryidae,slender springtails,27,133,160,35
house.bed.Collembola (springtails).Hypogastruridae (springtails),bed,Collembola,springtails,Hypogastruridae,springtails,2,158,160,35
house.bed.Collembola (springtails).Sminthuridae (globular springtails),bed,Collembola,springtails,Sminthuridae,globular springtails,1,159,160,35
house.bed.Collembola (springtails).Tomoceridae (elongate bodied springtails),bed,Collembola,springtails,Tomoceridae,elongate bodied springtails,6,154,160,35
house.bed.Dermaptera (earwigs).Anisolabididae (earwigs),bed,Dermaptera,earwigs,Anisolabididae,earwigs,4,156,160,10
house.bed.Dermaptera (earwigs).Forficulidae (earwigs),bed,Dermaptera,earwigs,Forficulidae,earwigs,5,155,160,10
house.bed.Dermaptera (earwigs).Un ID family,bed,Dermaptera,earwigs,Un ID family,,1,159,160,10
house.bed.Diptera (flies).Agromyzidae (leaf miner flies),bed,Diptera,flies,Agromyzidae,leaf miner flies,1,159,160,137
house.bed.Diptera (flies).Anisopodidae (wood gnats),bed,Diptera,flies,Anisopodidae,wood gnats,1,159,160,137
house.bed.Diptera (flies).Anthomyiidae (root maggot flies),bed,Diptera,flies,Anthomyiidae,root maggot flies,2,158,160,137
"house.bed.Diptera (flies).Bibionidae (march flies, lovebugs)",bed,Diptera,flies,Bibionidae,"march flies, lovebugs",6,154,160,137
house.bed.Diptera (flies).Calliphoridae (blow flies),bed,Diptera,flies,Calliphoridae,blow flies,12,148,160,137
house.bed.Diptera (flies).Cecidomyiidae (gall midges),bed,Diptera,flies,Cecidomyiidae,gall midges,54,106,160,137
house.bed.Diptera (flies).Ceratopogonidae (biting midges),bed,Diptera,flies,Ceratopogonidae,biting midges,14,146,160,137
house.bed.Diptera (flies).Chaoboridae (phantom midges),bed,Diptera,flies,Chaoboridae,phantom midges,3,157,160,137
house.bed.Diptera (flies).Chironomidae (non biting midges),bed,Diptera,flies,Chironomidae,non biting midges,22,138,160,137
house.bed.Diptera (flies).Chloropidae (frit flies),bed,Diptera,flies,Chloropidae,frit flies,5,155,160,137
house.bed.Diptera (flies).Culicidae (mosquitoes),bed,Diptera,flies,Culicidae,mosquitoes,39,121,160,137
house.bed.Diptera (flies).Dolichopodidae (longlegged flies),bed,Diptera,flies,Dolichopodidae,longlegged flies,7,153,160,137
"house.bed.Diptera (flies).Drosophilidae (fruit flies, vinegar flies)",bed,Diptera,flies,Drosophilidae,"fruit flies, vinegar flies",25,135,160,137
house.bed.Diptera (flies).Empididae (dance flies),bed,Diptera,flies,Empididae,dance flies,2,158,160,137
house.bed.Diptera (flies).Fanniidae (Calyptrate flies),bed,Diptera,flies,Fanniidae,Calyptrate flies,1,159,160,137
house.bed.Diptera (flies).Lauxaniidae (acalyptrate flies),bed,Diptera,flies,Lauxaniidae,acalyptrate flies,2,158,160,137
house.bed.Diptera (flies).Lonchopteridae (pointed-winged flies),bed,Diptera,flies,Lonchopteridae,pointed-winged flies,1,159,160,137
house.bed.Diptera (flies).Milichiidae (freeloader flies),bed,Diptera,flies,Milichiidae,freeloader flies,3,157,160,137
house.bed.Diptera (flies).Muscidae (house flies),bed,Diptera,flies,Muscidae,house flies,9,151,160,137
house.bed.Diptera (flies).Mycetophilidae (fungus gnats),bed,Diptera,flies,Mycetophilidae,fungus gnats,33,127,160,137
house.bed.Diptera (flies).Phoridae (scuttle flies),bed,Diptera,flies,Phoridae,scuttle flies,27,133,160,137
house.bed.Diptera (flies).Psychodidae (sand & moth flies),bed,Diptera,flies,Psychodidae,sand & moth flies,29,131,160,137
house.bed.Diptera (flies).Rhinophoridae (woodlouse flies),bed,Diptera,flies,Rhinophoridae,woodlouse flies,1,159,160,137
house.bed.Diptera (flies).Sarcophagidae (flesh flies),bed,Diptera,flies,Sarcophagidae,flesh flies,7,153,160,137
house.bed.Diptera (flies).Scatopsidae (minute black scavenger flies),bed,Diptera,flies,Scatopsidae,minute black scavenger flies,7,153,160,137
house.bed.Diptera (flies).Sciaridae (dark winged fungus gnats),bed,Diptera,flies,Sciaridae,dark winged fungus gnats,79,81,160,137
house.bed.Diptera (flies).Sphaeroceridae (lesser dung flies),bed,Diptera,flies,Sphaeroceridae,lesser dung flies,4,156,160,137
house.bed.Diptera (flies).Stratiomyidae (soldier flies),bed,Diptera,flies,Stratiomyidae,soldier flies,1,159,160,137
"house.bed.Diptera (flies).Tabanidae (horse flies, deer flies)",bed,Diptera,flies,Tabanidae,"horse flies, deer flies",1,159,160,137
house.bed.Diptera (flies).Tachinidae (Tachina flies),bed,Diptera,flies,Tachinidae,Tachina flies,3,157,160,137
house.bed.Diptera (flies).Tipulidae (large crane flies),bed,Diptera,flies,Tipulidae,large crane flies,27,133,160,137
house.bed.Diptera (flies).Trichoceridae (winter crane flies),bed,Diptera,flies,Trichoceridae,winter crane flies,3,157,160,137
house.bed.Diptera (flies).Un ID family,bed,Diptera,flies,Un ID family,,6,154,160,137
house.bed.Hemiptera (true bugs).Alydidae (broad-headed bugs),bed,Hemiptera,true bugs,Alydidae,broad-headed bugs,1,159,160,59
house.bed.Hemiptera (true bugs).Anisolabididae (earwigs),bed,Hemiptera,true bugs,Anisolabididae,earwigs,1,159,160,59
house.bed.Hemiptera (true bugs).Anthocoridae (minute pirate bugs),bed,Hemiptera,true bugs,Anthocoridae,minute pirate bugs,9,151,160,59
house.bed.Hemiptera (true bugs).Aphididae (aphids),bed,Hemiptera,true bugs,Aphididae,aphids,10,150,160,59
house.bed.Hemiptera (true bugs).Blissidae (true bugs),bed,Hemiptera,true bugs,Blissidae,true bugs,1,159,160,59
house.bed.Hemiptera (true bugs).Cicadellidae (leafhoppers),bed,Hemiptera,true bugs,Cicadellidae,leafhoppers,22,138,160,59
house.bed.Hemiptera (true bugs).Cixiidae (cixiid planthoppers),bed,Hemiptera,true bugs,Cixiidae,cixiid planthoppers,1,159,160,59
house.bed.Hemiptera (true bugs).Coreidae (leaf-footed bugs),bed,Hemiptera,true bugs,Coreidae,leaf-footed bugs,2,158,160,59
house.bed.Hemiptera (true bugs).Cydnidae (burrowing bugs),bed,Hemiptera,true bugs,Cydnidae,burrowing bugs,3,157,160,59
house.bed.Hemiptera (true bugs).Delphacidae (Delphacid planthoppers),bed,Hemiptera,true bugs,Delphacidae,Delphacid planthoppers,1,159,160,59
house.bed.Hemiptera (true bugs).Lygaeidae (seed bugs),bed,Hemiptera,true bugs,Lygaeidae,seed bugs,2,158,160,59
house.bed.Hemiptera (true bugs).Membracidae (treehoppers),bed,Hemiptera,true bugs,Membracidae,treehoppers,1,159,160,59
house.bed.Hemiptera (true bugs).Miridae (plant bugs),bed,Hemiptera,true bugs,Miridae,plant bugs,9,151,160,59
house.bed.Hemiptera (true bugs).Pentatomidae (stink bugs),bed,Hemiptera,true bugs,Pentatomidae,stink bugs,5,155,160,59
house.bed.Hemiptera (true bugs).Platygastridae (parasitic wasps),bed,Hemiptera,true bugs,Platygastridae,parasitic wasps,1,159,160,59
house.bed.Hemiptera (true bugs).Reduviidae (assassin bugs),bed,Hemiptera,true bugs,Reduviidae,assassin bugs,3,157,160,59
house.bed.Hemiptera (true bugs).Rhyparochromidae (dirt colored seed bugs),bed,Hemiptera,true bugs,Rhyparochromidae,dirt colored seed bugs,3,157,160,59
house.bed.Hemiptera (true bugs).Tingidae (lace bugs),bed,Hemiptera,true bugs,Tingidae,lace bugs,2,158,160,59
house.bed.Hemiptera (true bugs).Un ID family,bed,Hemiptera,true bugs,Un ID family,,2,158,160,59
"house.bed.Hymenoptera (bees, wasps, ants).Anthophila (Apoidea) (bees)",bed,Hymenoptera,"bees, wasps, ants",Anthophila,Apoidea,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Aphelinidae (chalcid wasp)",bed,Hymenoptera,"bees, wasps, ants",Aphelinidae,chalcid wasp,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Bethylidae (cuckoo wasps)",bed,Hymenoptera,"bees, wasps, ants",Bethylidae,cuckoo wasps,4,156,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Braconidae (parasitoid wasps)",bed,Hymenoptera,"bees, wasps, ants",Braconidae,parasitoid wasps,14,146,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Chalcididae (Chalcid wasps)",bed,Hymenoptera,"bees, wasps, ants",Chalcididae,Chalcid wasps,3,157,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Chrysididae (cuckoo wasps)",bed,Hymenoptera,"bees, wasps, ants",Chrysididae,cuckoo wasps,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Diapriidae (parasitic wasps)",bed,Hymenoptera,"bees, wasps, ants",Diapriidae,parasitic wasps,2,158,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Encyrtidae (chalcid wasps)",bed,Hymenoptera,"bees, wasps, ants",Encyrtidae,chalcid wasps,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Encyrtidae (Chalcid wasps)",bed,Hymenoptera,"bees, wasps, ants",Encyrtidae,Chalcid wasps,3,157,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Eulophidae (chalcid wasps)",bed,Hymenoptera,"bees, wasps, ants",Eulophidae,chalcid wasps,27,133,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Formicidae (ants)",bed,Hymenoptera,"bees, wasps, ants",Formicidae,ants,106,54,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Ichneumonidae (scorpion wasps)",bed,Hymenoptera,"bees, wasps, ants",Ichneumonidae,scorpion wasps,7,153,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Megachilidae (leaf cutter & mason bees)",bed,Hymenoptera,"bees, wasps, ants",Megachilidae,leaf cutter & mason bees,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Perilampidae (chalcid wasps)",bed,Hymenoptera,"bees, wasps, ants",Perilampidae,chalcid wasps,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Platygastridae (parasitic wasps)",bed,Hymenoptera,"bees, wasps, ants",Platygastridae,parasitic wasps,9,151,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Platygastridae (parasitic wasps) (parasitoid wasps)",bed,Hymenoptera,"bees, wasps, ants",Platygastridae,parasitic wasps,2,158,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Pompilidae (spider wasps)",bed,Hymenoptera,"bees, wasps, ants",Pompilidae,spider wasps,9,151,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Proctotrupidae (parasitic wasps)",bed,Hymenoptera,"bees, wasps, ants",Proctotrupidae,parasitic wasps,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Pteromalidae (Pteromalid wasps)",bed,Hymenoptera,"bees, wasps, ants",Pteromalidae,Pteromalid wasps,6,154,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Sphecidae (thread-waisted wasps)",bed,Hymenoptera,"bees, wasps, ants",Sphecidae,thread-waisted wasps,6,154,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Torymidae (chalcid wasps)",bed,Hymenoptera,"bees, wasps, ants",Torymidae,chalcid wasps,2,158,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Un ID family",bed,Hymenoptera,"bees, wasps, ants",Un ID family,,1,159,160,126
"house.bed.Hymenoptera (bees, wasps, ants).Vespidae (yellowjackets, etc)",bed,Hymenoptera,"bees, wasps, ants",Vespidae,"yellowjackets, etc",3,157,160,126
"house.bed.Isopoda (woodlice, pillbugs, roly-poly's).Armadillidiidae (pillbugs)",bed,Isopoda,"woodlice, pillbugs, roly-poly's",Armadillidiidae,pillbugs,30,130,160,32
"house.bed.Isopoda (woodlice, pillbugs, roly-poly's).Porcellionidae (woodlice)",bed,Isopoda,"woodlice, pillbugs, roly-poly's",Porcellionidae,woodlice,6,154,160,32
"house.bed.Isopoda (woodlice, pillbugs, roly-poly's).Un ID family",bed,Isopoda,"woodlice, pillbugs, roly-poly's",Un ID family,,1,159,160,32
house.bed.Isoptera (termites).Rhinotermitidae (subterranean termites),bed,Isoptera,termites,Rhinotermitidae,subterranean termites,7,153,160,7
house.bed.Julida (millipedes).Julidae (millipedes),bed,Julida,millipedes,Julidae,millipedes,4,156,160,4
house.bed.Julida (millipedes).Un ID family,bed,Julida,millipedes,Un ID family,,1,159,160,4
"house.bed.Lepidoptera (moths, butterflies).Erebidae (moths)",bed,Lepidoptera,"moths, butterflies",Erebidae,moths,1,159,160,54
"house.bed.Lepidoptera (moths, butterflies).Gelechiidae (twirler moths)",bed,Lepidoptera,"moths, butterflies",Gelechiidae,twirler moths,1,159,160,54
"house.bed.Lepidoptera (moths, butterflies).Geometridae (geometrid moths)",bed,Lepidoptera,"moths, butterflies",Geometridae,geometrid moths,3,157,160,54
"house.bed.Lepidoptera (moths, butterflies).Noctuidae (owlet moths)",bed,Lepidoptera,"moths, butterflies",Noctuidae,owlet moths,8,152,160,54
"house.bed.Lepidoptera (moths, butterflies).Pyralidae (pyralid moths)",bed,Lepidoptera,"moths, butterflies",Pyralidae,pyralid moths,20,140,160,54
"house.bed.Lepidoptera (moths, butterflies).Tineidae (clothes moths)",bed,Lepidoptera,"moths, butterflies",Tineidae,clothes moths,15,145,160,54
"house.bed.Lepidoptera (moths, butterflies).Tortricidae (leafroller moths)",bed,Lepidoptera,"moths, butterflies",Tortricidae,leafroller moths,1,159,160,54
"house.bed.Lepidoptera (moths, butterflies).Un ID family",bed,Lepidoptera,"moths, butterflies",Un ID family,,20,140,160,54
house.bed.Lithobiomorpha (stone centipedes).Lithobiidae (stone centipedes),bed,Lithobiomorpha,stone centipedes,Lithobiidae,stone centipedes,3,157,160,3
house.bed.Microcoryphia (bristletails).Machilidae (jumping bristletails),bed,Microcoryphia,bristletails,Machilidae,jumping bristletails,2,158,160,3
house.bed.Microcoryphia (bristletails).Un ID family,bed,Microcoryphia,bristletails,Un ID family,,1,159,160,3
house.bed.Neuroptera (lacewings).Chrysopidae (green lacewings),bed,Neuroptera,lacewings,Chrysopidae,green lacewings,4,156,160,7
house.bed.Neuroptera (lacewings).Coniopterygidae (dustywings),bed,Neuroptera,lacewings,Coniopterygidae,dustywings,2,158,160,7
house.bed.Neuroptera (lacewings).Myrmeleontidae (ant lions),bed,Neuroptera,lacewings,Myrmeleontidae,ant lions,1,159,160,7
house.bed.No specimens.No specimens,bed,No specimens,,No specimens,,1,159,160,1
house.bed.Opiliones (harvestmen).Phalangiidae (harvestmen),bed,Opiliones,harvestmen,Phalangiidae,harvestmen,1,159,160,4
house.bed.Opiliones (harvestmen).Un ID family,bed,Opiliones,harvestmen,Un ID family,,3,157,160,4
"house.bed.Orthoptera (grasshoppers, etc).Gryllidae (crickets)",bed,Orthoptera,"grasshoppers, etc",Gryllidae,crickets,6,154,160,18
"house.bed.Orthoptera (grasshoppers, etc).Mogoplistidae (scaly crickets)",bed,Orthoptera,"grasshoppers, etc",Mogoplistidae,scaly crickets,1,159,160,18
"house.bed.Orthoptera (grasshoppers, etc).Rhaphidophoridae (camel crickets)",bed,Orthoptera,"grasshoppers, etc",Rhaphidophoridae,camel crickets,11,149,160,18
house.bed.Polydesmida (flat-backed millipedes).Paradoxosomatidae (millipedes),bed,Polydesmida,flat-backed millipedes,Paradoxosomatidae,millipedes,15,145,160,21
house.bed.Polydesmida (flat-backed millipedes).Polydesmidae (flat-backed millipedes),bed,Polydesmida,flat-backed millipedes,Polydesmidae,flat-backed millipedes,2,158,160,21
house.bed.Polydesmida (flat-backed millipedes).Un ID family,bed,Polydesmida,flat-backed millipedes,Un ID family,,4,156,160,21
house.bed.Pseudoscorpiones (pseudoscorpions).Un ID family,bed,Pseudoscorpiones,pseudoscorpions,Un ID family,,1,159,160,1
"house.bed.Psocodea (barklice, booklice, parasitic lice).Caeciliusidae (lizard barklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Caeciliusidae,lizard barklice,1,159,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Ectopsocidae (outer barklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Ectopsocidae,outer barklice,4,156,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Hemipsocidae (leaf litter barklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Hemipsocidae,leaf litter barklice,1,159,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Lepidopsocidae (scaly winged barklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Lepidopsocidae,scaly winged barklice,9,151,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Liposcelididae (booklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Liposcelididae,booklice,71,89,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Mesopsocidae (middle barklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Mesopsocidae,middle barklice,1,159,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Stenopsocidae (narrow barklice)",bed,Psocodea,"barklice, booklice, parasitic lice",Stenopsocidae,narrow barklice,1,159,160,81
"house.bed.Psocodea (barklice, booklice, parasitic lice).Un ID family",bed,Psocodea,"barklice, booklice, parasitic lice",Un ID family,,18,142,160,81
house.bed.Scolopendromorpha (tropical centipedes).Scolopendridae (tropical centipedes),bed,Scolopendromorpha,tropical centipedes,Scolopendridae,tropical centipedes,3,157,160,3
house.bed.Scutigeromorpha (house centipedes).Scutigeridae (house centipedes),bed,Scutigeromorpha,house centipedes,Scutigeridae,house centipedes,11,149,160,11
house.bed.Siphonaptera (fleas).Pulicidae (fleas),bed,Siphonaptera,fleas,Pulicidae,fleas,2,158,160,2
house.bed.Thysanoptera (thrips).Phlaeothripidae (tube tailed thrips),bed,Thysanoptera,thrips,Phlaeothripidae,tube tailed thrips,1,159,160,7
house.bed.Thysanoptera (thrips).Thripidae (thrips),bed,Thysanoptera,thrips,Thripidae,thrips,4,156,160,7
house.bed.Thysanoptera (thrips).Un ID family,bed,Thysanoptera,thrips,Un ID family,,3,157,160,7
house.bed.Trichoptera (caddisflies).Hydropsychidae (netspinning caddisflies),bed,Trichoptera,caddisflies,Hydropsychidae,netspinning caddisflies,1,159,160,2
house.bed.Trichoptera (caddisflies).Un ID family,bed,Trichoptera,caddisflies,Un ID family,,1,159,160,2
house.bed.Zygentoma (silverfish).Lepismatidae (silverfish),bed,Zygentoma,silverfish,Lepismatidae,silverfish,37,123,160,37
"house.common.Acari (mites, ticks).Galumnidae (mites)",common,Acari,"mites, ticks",Galumnidae,mites,4,93,97,35
"house.common.Acari (mites, ticks).Ixodidae (hard ticks)",common,Acari,"mites, ticks",Ixodidae,hard ticks,7,90,97,35
"house.common.Acari (mites, ticks).Oribatida (moss mites)",common,Acari,"mites, ticks",Oribatida,moss mites,12,85,97,35
"house.common.Acari (mites, ticks).Trombidiidae (velvet mites)",common,Acari,"mites, ticks",Trombidiidae,velvet mites,1,96,97,35
"house.common.Acari (mites, ticks).Un ID family",common,Acari,"mites, ticks",Un ID family,,25,72,97,35
house.common.Araneae (spiders).Agelenidae (funnel weavers),common,Araneae,spiders,Agelenidae,funnel weavers,16,81,97,94
house.common.Araneae (spiders).Anyphaenidae (ghost spiders),common,Araneae,spiders,Anyphaenidae,ghost spiders,11,86,97,94
house.common.Araneae (spiders).Araneidae (orb weavers),common,Araneae,spiders,Araneidae,orb weavers,6,91,97,94
house.common.Araneae (spiders).Clubionidae (sac spiders),common,Araneae,spiders,Clubionidae,sac spiders,4,93,97,94
"house.common.Araneae (spiders).Corinnidae (antmimics, ground spiders)",common,Araneae,spiders,Corinnidae,"antmimics, ground spiders",11,86,97,94
"house.common.Araneae (spiders).Dysderidae (woodlouse hunters, cell spiders)",common,Araneae,spiders,Dysderidae,"woodlouse hunters, cell spiders",1,96,97,94
house.common.Araneae (spiders).Filistatidae (crevice weavers),common,Araneae,spiders,Filistatidae,crevice weavers,1,96,97,94
house.common.Araneae (spiders).Gnaphosidae (ground spiders),common,Araneae,spiders,Gnaphosidae,ground spiders,20,77,97,94
house.common.Araneae (spiders).Linyphiidae (sheetweb & dwarf spiders),common,Araneae,spiders,Linyphiidae,sheetweb & dwarf spiders,10,87,97,94
house.common.Araneae (spiders).Lycosidae (wolf spiders),common,Araneae,spiders,Lycosidae,wolf spiders,16,81,97,94
house.common.Araneae (spiders).Miturgidae (prowling spiders),common,Araneae,spiders,Miturgidae,prowling spiders,1,96,97,94
house.common.Araneae (spiders).Oecobiidae (wall spiders),common,Araneae,spiders,Oecobiidae,wall spiders,18,79,97,94
house.common.Araneae (spiders).Oonopidae (goblin spiders),common,Araneae,spiders,Oonopidae,goblin spiders,6,91,97,94
house.common.Araneae (spiders).Pholcidae (cellar spiders),common,Araneae,spiders,Pholcidae,cellar spiders,55,42,97,94
house.common.Araneae (spiders).Salticidae (jumping spider),common,Araneae,spiders,Salticidae,jumping spider,22,75,97,94
house.common.Araneae (spiders).Scytodidae (spitting spider),common,Araneae,spiders,Scytodidae,spitting spider,4,93,97,94
house.common.Araneae (spiders).Tetragnathidae (long jawed orb weaver),common,Araneae,spiders,Tetragnathidae,long jawed orb weaver,1,96,97,94
house.common.Araneae (spiders).Theridiidae (cobweb spiders),common,Araneae,spiders,Theridiidae,cobweb spiders,85,12,97,94
house.common.Araneae (spiders).Thomisidae (crab spiders),common,Araneae,spiders,Thomisidae,crab spiders,9,88,97,94
house.common.Araneae (spiders).Un ID family,common,Araneae,spiders,Un ID family,,18,79,97,94
house.common.Blattodea (cockroaches).Blattellidae (cockroaches),common,Blattodea,cockroaches,Blattellidae,cockroaches,10,87,97,42
house.common.Blattodea (cockroaches).Blattidae (cockroaches),common,Blattodea,cockroaches,Blattidae,cockroaches,39,58,97,42
house.common.Callipodida (crested millipedes).Abacionidae (millipedes),common,Callipodida,crested millipedes,Abacionidae,millipedes,3,94,97,3
house.common.Coleoptera (beetles).Aderidae (antlike leaf beetles),common,Coleoptera,beetles,Aderidae,antlike leaf beetles,5,92,97,89
house.common.Coleoptera (beetles).Anobiidae (death watch beetles),common,Coleoptera,beetles,Anobiidae,death watch beetles,30,67,97,89
house.common.Coleoptera (beetles).Anthicidae (antlike flower beetles),common,Coleoptera,beetles,Anthicidae,antlike flower beetles,7,90,97,89
house.common.Coleoptera (beetles).Anthribidae (fungus weevils),common,Coleoptera,beetles,Anthribidae,fungus weevils,2,95,97,89
house.common.Coleoptera (beetles).Biphyllidae (false skin beetles),common,Coleoptera,beetles,Biphyllidae,false skin beetles,1,96,97,89
house.common.Coleoptera (beetles).Bostrichidae (horned powder-post beetles),common,Coleoptera,beetles,Bostrichidae,horned powder-post beetles,1,96,97,89
house.common.Coleoptera (beetles).Cantharidae (soldier beetles),common,Coleoptera,beetles,Cantharidae,soldier beetles,3,94,97,89
house.common.Coleoptera (beetles).Carabidae (ground beetles),common,Coleoptera,beetles,Carabidae,ground beetles,14,83,97,89
house.common.Coleoptera (beetles).Cerambycidae (longhorned beetles),common,Coleoptera,beetles,Cerambycidae,longhorned beetles,3,94,97,89
house.common.Coleoptera (beetles).Chrysomelidae (leaf beetles),common,Coleoptera,beetles,Chrysomelidae,leaf beetles,17,80,97,89
house.common.Coleoptera (beetles).Clambidae (minute beetles),common,Coleoptera,beetles,Clambidae,minute beetles,1,96,97,89
house.common.Coleoptera (beetles).Cleridae (checkered beetles),common,Coleoptera,beetles,Cleridae,checkered beetles,3,94,97,89
house.common.Coleoptera (beetles).Coccinellidae (ladybugs),common,Coleoptera,beetles,Coccinellidae,ladybugs,22,75,97,89
house.common.Coleoptera (beetles).Corylophidae (minute hooded beetles),common,Coleoptera,beetles,Corylophidae,minute hooded beetles,4,93,97,89
house.common.Coleoptera (beetles).Cryptophagidae (silken fungus beetles),common,Coleoptera,beetles,Cryptophagidae,silken fungus beetles,12,85,97,89
house.common.Coleoptera (beetles).Curculionidae (snout & bark beetles),common,Coleoptera,beetles,Curculionidae,snout & bark beetles,33,64,97,89
house.common.Coleoptera (beetles).Dermestidae (carpet beetles),common,Coleoptera,beetles,Dermestidae,carpet beetles,80,17,97,89
house.common.Coleoptera (beetles).Elateridae (click beetles),common,Coleoptera,beetles,Elateridae,click beetles,38,59,97,89
house.common.Coleoptera (beetles).Endomychidae (handsome fungus beetles),common,Coleoptera,beetles,Endomychidae,handsome fungus beetles,3,94,97,89
house.common.Coleoptera (beetles).Erotylidae (pleasing fungus beetles),common,Coleoptera,beetles,Erotylidae,pleasing fungus beetles,1,96,97,89
house.common.Coleoptera (beetles).Eucnemidae (false click beetles),common,Coleoptera,beetles,Eucnemidae,false click beetles,2,95,97,89
house.common.Coleoptera (beetles).Geotrupidae (earth boring scarab beetles),common,Coleoptera,beetles,Geotrupidae,earth boring scarab beetles,1,96,97,89
house.common.Coleoptera (beetles).Heteroceridae (mud-loving beetles),common,Coleoptera,beetles,Heteroceridae,mud-loving beetles,1,96,97,89
house.common.Coleoptera (beetles).Histeridae (clown beetles),common,Coleoptera,beetles,Histeridae,clown beetles,2,95,97,89
house.common.Coleoptera (beetles).Hydrophilidae (water scavenger beetles),common,Coleoptera,beetles,Hydrophilidae,water scavenger beetles,1,96,97,89
